approach,budget,policy,true_value,mean_estimate,rmse,std,bias
uniform_random,500,State-Optimal,0.8666666666666667,0.8650789658594562,0.009353784427338255,0.009218052357190178,0.0015877008072104903
uniform_random,500,Uniform,0.46,0.45979008792094944,0.004914819083033526,0.004910334361122385,0.00020991207905057818
uniform_random,500,Suboptimal,0.6,0.6017477714940705,0.007615585365842892,0.007412316457690857,0.0017477714940705713
uniform_random,1000,State-Optimal,0.8666666666666667,0.8655160100717467,0.008327249818774805,0.00824736800105658,0.0011506565949199743
uniform_random,1000,Uniform,0.46,0.45991413505880174,0.00405511825964205,0.0040542090858212265,8.586494119827703e-05
uniform_random,1000,Suboptimal,0.6,0.6015290452931139,0.0065275188964361505,0.006345906037354871,0.0015290452931139287
uniform_random,1500,State-Optimal,0.8666666666666667,0.8651916907366882,0.007503389614333501,0.0073569899898308835,0.0014749759299784726
uniform_random,1500,Uniform,0.46,0.45978803742313445,0.003289830577185731,0.003282995140507323,0.0002119625768655653
uniform_random,1500,Suboptimal,0.6,0.6012772237849442,0.006216147093480312,0.006083517411083517,0.0012772237849442147
uniform_random,2000,State-Optimal,0.8666666666666667,0.8651699878318267,0.0071438908661624724,0.006985351041499772,0.0014966788348399485
uniform_random,2000,Uniform,0.46,0.4597959433397293,0.0030100040296059632,0.0030030792759504783,0.000204056660270735
uniform_random,2000,Suboptimal,0.6,0.6015213314300408,0.005833263029079025,0.005631385996927393,0.001521331430040851
uniform_random,3000,State-Optimal,0.8666666666666667,0.8653263337575501,0.006368346458679,0.006225700306833645,0.001340332909116615
uniform_random,3000,Uniform,0.46,0.45959552564671824,0.0025749593850609214,0.002542993576918868,0.0004044743532817807
uniform_random,3000,Suboptimal,0.6,0.6010880685037022,0.005523391265095575,0.005415160015972305,0.0010880685037022442
greedy_pie_only,500,State-Optimal,0.8666666666666667,0.8656775059805146,0.006097044477291365,0.006016270646757872,0.0009891606861520685
greedy_pie_only,500,Uniform,0.46,0.4597519834970927,0.00484050143667309,0.0048341433545892945,0.00024801650290734445
greedy_pie_only,500,Suboptimal,0.6,0.6017048654363235,0.00585169063637484,0.0055978314683336715,0.0017048654363235327
greedy_pie_only,1000,State-Optimal,0.8666666666666667,0.8654967191981211,0.005814233313369935,0.00569530788835377,0.0011699474685455957
greedy_pie_only,1000,Uniform,0.46,0.4595149708933908,0.004135648541087084,0.004107107938822346,0.00048502910660924714
greedy_pie_only,1000,Suboptimal,0.6,0.6012751930383374,0.005530795245167859,0.005381782117379601,0.0012751930383374521
greedy_pie_only,1500,State-Optimal,0.8666666666666667,0.8660110221452533,0.005257832837387704,0.005216793690328673,0.0006556445214134232
greedy_pie_only,1500,Uniform,0.46,0.459733742612842,0.0036142397630153805,0.0036044189640419538,0.00026625738715801983
greedy_pie_only,1500,Suboptimal,0.6,0.6015987920171999,0.005458093610700591,0.00521868277910319,0.0015987920171999237
greedy_pie_only,2000,State-Optimal,0.8666666666666667,0.8657709369899301,0.005346952928601198,0.005271392033124649,0.0008957296767365674
greedy_pie_only,2000,Uniform,0.46,0.4596067305362005,0.0033217880258885942,0.0032984261122207437,0.0003932694637995282
greedy_pie_only,2000,Suboptimal,0.6,0.6011886028978269,0.005366747220525964,0.005233469105698487,0.0011886028978269625
greedy_pie_only,3000,State-Optimal,0.8666666666666667,0.8656696003557386,0.0052993805248208155,0.005204737526375587,0.0009970663109281075
greedy_pie_only,3000,Uniform,0.46,0.45975811901545993,0.0027602137020716427,0.002749595110270237,0.00024188098454008822
greedy_pie_only,3000,Suboptimal,0.6,0.6013670687014487,0.005204563820341422,0.005021813191022339,0.0013670687014487592
greedy_support_based,500,State-Optimal,0.8666666666666667,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.0015067598351650169
greedy_support_based,500,Uniform,0.46,0.46000471210528515,0.005074548951274529,0.0050745467634996915,4.7121052851317735e-06
greedy_support_based,500,Suboptimal,0.6,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.0018724702414971706
greedy_support_based,1000,State-Optimal,0.8666666666666667,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.0015067598351650169
greedy_support_based,1000,Uniform,0.46,0.4599633235545639,0.005129439620150817,0.005129308496778404,3.667644543614568e-05
greedy_support_based,1000,Suboptimal,0.6,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.0018724702414971706
greedy_support_based,1500,State-Optimal,0.8666666666666667,0.8651599068315017,0.011193815015470288,0.01109194164245834,0.0015067598351650169
greedy_support_based,1500,Uniform,0.46,0.460104666264741,0.005040944189996893,0.005039857468191794,0.0001046662647409824
greedy_support_based,1500,Suboptimal,0.6,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.0018724702414971706
greedy_support_based,2000,State-Optimal,0.8666666666666667,0.8649861074468639,0.010489184884016924,0.010353681482440178,0.001680559219802813
greedy_support_based,2000,Uniform,0.46,0.45978306948673164,0.004214598592651506,0.004209012051490612,0.0002169305132683763
greedy_support_based,2000,Suboptimal,0.6,0.6016568547305876,0.009104072668349984,0.008952037285016546,0.0016568547305876313
greedy_support_based,3000,State-Optimal,0.8666666666666667,0.8646311773316362,0.010054298399477066,0.009846100724281865,0.0020354893350305048
greedy_support_based,3000,Uniform,0.46,0.4596125414369944,0.00343379044569231,0.0034118605901885023,0.0003874585630055938
greedy_support_based,3000,Suboptimal,0.6,0.6014784009141827,0.008998239058629409,0.008875958364773213,0.0014784009141827203
round_robin,500,State-Optimal,0.8666666666666667,0.865330449714919,0.009322041265321617,0.009225777886456041,0.0013362169517476818
round_robin,500,Uniform,0.46,0.4598439682510021,0.0046648808748658895,0.004662270656020972,0.00015603174899792016
round_robin,500,Suboptimal,0.6,0.6015501705611689,0.00802240512095423,0.007871210526723176,0.0015501705611689065
round_robin,1000,State-Optimal,0.8666666666666667,0.8655348908737811,0.008045207377744916,0.007965202150953827,0.001131775792885592
round_robin,1000,Uniform,0.46,0.45973674048952035,0.003643229833849634,0.003633705829094314,0.0002632595104796742
round_robin,1000,Suboptimal,0.6,0.6013972220988857,0.007238808275579697,0.0071026836939981014,0.0013972220988857087
round_robin,1500,State-Optimal,0.8666666666666667,0.8655455357100508,0.007190049016709832,0.007102103226566595,0.0011211309566159233
round_robin,1500,Uniform,0.46,0.4597244411155937,0.003097119915690204,0.003084836960584733,0.000275558884406335
round_robin,1500,Suboptimal,0.6,0.601397376251514,0.005988010761307074,0.005822680867884977,0.0013973762515140375
round_robin,2000,State-Optimal,0.8666666666666667,0.8656008250284024,0.006420101906216477,0.0063310101949330885,0.0010658416382642866
round_robin,2000,Uniform,0.46,0.45977258783307406,0.0027789211392949932,0.002769600405248859,0.00022741216692595545
round_robin,2000,Suboptimal,0.6,0.6013361004037869,0.005867319415422678,0.005713166620500091,0.001336100403786955
round_robin,3000,State-Optimal,0.8666666666666667,0.8655381260025284,0.005801454945898577,0.005690630497464867,0.0011285406641382556
round_robin,3000,Uniform,0.46,0.4598251148867022,0.0024968252988476413,0.002490693030084691,0.00017488511329782908
round_robin,3000,Suboptimal,0.6,0.6011236656852391,0.005118409033139905,0.0049935444784585765,0.0011236656852391391
high_reward_first,500,State-Optimal,0.8666666666666667,0.8655683951446731,0.006362821718434114,0.00626731999219404,0.001098271521993599
high_reward_first,500,Uniform,0.46,0.4595555837771535,0.006984826741623273,0.006970674202067287,0.00044441622284652205
high_reward_first,500,Suboptimal,0.6,0.6018724702414971,0.009495488278536999,0.009309036085575173,0.0018724702414971706
high_reward_first,1000,State-Optimal,0.8666666666666667,0.8653227711454566,0.005779945168787408,0.005621539912004576,0.001343895521210059
high_reward_first,1000,Uniform,0.46,0.45953235365317086,0.0069047749086074625,0.006888920338691142,0.00046764634682916473
high_reward_first,1000,Suboptimal,0.6,0.6020019436207997,0.006662381203701723,0.006354490148121804,0.002001943620799751
high_reward_first,1500,State-Optimal,0.8666666666666667,0.8654661060318434,0.005677803852881189,0.005549424362391583,0.0012005606348233222
high_reward_first,1500,Uniform,0.46,0.4593182317688526,0.006490643727773737,0.006454738420717504,0.000681768231147406
high_reward_first,1500,Suboptimal,0.6,0.6016628154039022,0.005419644768888666,0.005158254971740701,0.0016628154039022291
high_reward_first,2000,State-Optimal,0.8666666666666667,0.8656198125448111,0.0059422832029061975,0.005849344075286976,0.0010468541218555671
high_reward_first,2000,Uniform,0.46,0.4592102362309347,0.006496769124373354,0.006448587616252305,0.0007897637690653103
high_reward_first,2000,Suboptimal,0.6,0.601224899772761,0.005347412680200922,0.005205232263700019,0.0012248997727609678
high_reward_first,3000,State-Optimal,0.8666666666666667,0.8656699842644346,0.005437212671572017,0.005345082396463516,0.000996682402232052
high_reward_first,3000,Uniform,0.46,0.4592633129181863,0.0038922539767910717,0.0038219017731143576,0.0007366870818137361
high_reward_first,3000,Suboptimal,0.6,0.6014888531131648,0.005302860669711432,0.005089562622641752,0.001488853113164823
